date,q,pp,pp-1,pp-2,pp-30,t,pet
1992-01-01,3581,3.8057,2.0616,1.8206,2.8238,15.8751,3.712
1992-01-02,4178,1.1815,3.8057,2.0616,0.5102,16.2689,3.8973
1992-01-03,5085,0.5577,1.1815,3.8057,1.5055,16.5841,3.5199
1992-01-04,5976,1.5135,0.5577,1.1815,0.63,16.3258,3.7345
1992-01-05,5988,2.4808,1.5135,0.5577,6.6928,15.7306,2.9122
1992-01-06,5525,2.1795,2.4808,1.5135,1.2141,16.0482,3.2733
1992-01-07,5167,1.6536,2.1795,2.4808,3.2442,16.1626,3.5782
1992-01-08,4843,0.0717,1.6536,2.1795,8.3468,16.6006,3.8942
1992-01-09,4512,0.9358,0.0717,1.6536,1.199,16.8635,3.7356
1992-01-10,3961,0.6928,0.9358,0.0717,0.6064,16.8835,3.7455
1992-01-11,3864,0.0136,0.6928,0.9358,0.4654,16.9867,3.7106
1992-01-12,3688,0.0416,0.0136,0.6928,2.8861,17.5043,4.1881
1992-01-13,4131,4.8802,0.0416,0.0136,0.3215,16.4394,3.5512
1992-01-14,4253,6.8945,4.8802,0.0416,4.509,16.2799,3.7597
1992-01-15,3742,1.2132,6.8945,4.8802,4.2222,16.6277,4.2948
1992-01-16,3821,0.5622,1.2132,6.8945,2.3872,16.2331,3.8517
1992-01-17,3586,0.2064,0.5622,1.2132,1.367,16.9063,3.9389
1992-01-18,3502,0.5067,0.2064,0.5622,3.4283,16.3609,3.5223
1992-01-19,4135,0.0721,0.5067,0.2064,1.1887,16.5211,3.6421
1992-01-20,4607,0.3567,0.0721,0.5067,10.0859,16.3654,3.34
1992-01-21,4158,1.5265,0.3567,0.0721,4.2707,16.7978,3.7201
1992-01-22,3620,1.778,1.5265,0.3567,2.3262,16.9969,3.687
1992-01-23,2942,2.9226,1.778,1.5265,0.8502,16.5088,3.3974
1992-01-24,2581,1.2138,2.9226,1.778,0.882,17.0514,4.2846
1992-01-25,2761,1.1193,1.2138,2.9226,1.2466,17.0199,4.0581
1992-01-26,3338,4.9453,1.1193,1.2138,0.9538,16.9647,3.9516
1992-01-27,3386,10.8902,4.9453,1.1193,1.5189,16.664,3.7639
1992-01-28,3288,0.5626,10.8902,4.9453,8.5123,16.6074,3.9104
1992-01-29,2836,3.2451,0.5626,10.8902,2.0285,16.563,3.9512
1992-01-30,2518,1.363,3.2451,0.5626,1.8206,16.7607,3.5498
1992-01-31,2333,3.4093,1.363,3.2451,2.0616,16.9817,3.9527
1992-02-01,2044,0.6821,3.4093,1.363,3.8057,17.0409,4.3647
1992-02-02,1816,0.098,0.6821,3.4093,1.1815,17.3321,3.9362
1992-02-03,1554,1.1976,0.098,0.6821,0.5577,17.6135,3.8891
1992-02-04,1611,0.5289,1.1976,0.098,1.5135,17.5795,3.9922
1992-02-05,2445,0.0071,0.5289,1.1976,2.4808,17.0646,3.6573
1992-02-06,3409,0.027,0.0071,0.5289,2.1795,15.5524,2.8734
1992-02-07,3232,2.102,0.027,0.0071,1.6536,15.9354,3.8144
1992-02-08,3452,0,2.102,0.027,0.0717,16.6334,4.0461
1992-02-09,3012,0.5317,0,2.102,0.9358,17.0554,4.0007
1992-02-10,2194,1.7492,0.5317,0,0.6928,16.616,4.1381
1992-02-11,2621,2.9954,1.7492,0.5317,0.0136,16.7073,4.0628
1992-02-12,2738,12.4597,2.9954,1.7492,0.0416,16.7992,3.8776
1992-02-13,2428,10.7968,12.4597,2.9954,4.8802,16.6517,3.8555
1992-02-14,1946,0.38,10.7968,12.4597,6.8945,16.8532,3.9374
1992-02-15,1474,0.0379,0.38,10.7968,1.2132,17.3877,3.8149
1992-02-16,1635,16.2941,0.0379,0.38,0.5622,16.1692,2.7805
1992-02-17,1889,0.5488,16.2941,0.0379,0.2064,16.3868,3.745
1992-02-18,2283,0.1991,0.5488,16.2941,0.5067,15.8648,3.3421
1992-02-19,2008,0.0078,0.1991,0.5488,0.0721,15.9708,3.5797
1992-02-20,1783,0.5869,0.0078,0.1991,0.3567,16.4399,4.1185
1992-02-21,1769,2.3012,0.5869,0.0078,1.5265,16.8209,3.7701
1992-02-22,2094,4.0952,2.3012,0.5869,1.778,16.4209,3.6018
1992-02-23,2448,7.5265,4.0952,2.3012,2.9226,15.8916,3.3119
1992-02-24,2898,9.6458,7.5265,4.0952,1.2138,15.4944,2.8946
1992-02-25,3922,3.637,9.6458,7.5265,1.1193,15.4333,2.7904
1992-02-26,5130,12.7398,3.637,9.6458,4.9453,16.3971,3.2885
1992-02-27,6000,6.6813,12.7398,3.637,10.8902,15.6913,3.0306
1992-02-28,6431,0.8677,6.6813,12.7398,0.5626,15.4678,3.4593
1992-02-29,6104,0.0122,0.8677,6.6813,3.2451,16.3836,3.7603
1992-03-01,4784,0.0612,0.0122,0.8677,1.363,16.7706,3.738
1992-03-02,4080,0.1944,0.0612,0.0122,3.4093,16.6909,3.5823
1992-03-03,3606,0.5503,0.1944,0.0612,0.6821,16.6271,3.601
1992-03-04,3436,0.7599,0.5503,0.1944,0.098,16.7613,3.4069
1992-03-05,3979,3.3502,0.7599,0.5503,1.1976,16.1209,3.0414
1992-03-06,5939,1.3693,3.3502,0.7599,0.5289,15.6461,2.8971
1992-03-07,6640,0.9068,1.3693,3.3502,0.0071,15.1838,3.3518
1992-03-08,7028,11.3735,0.9068,1.3693,0.027,15.9421,3.6185
1992-03-09,6735,3.8667,11.3735,0.9068,2.102,16.7964,3.818
1992-03-10,5844,0.6109,3.8667,11.3735,0,16.2471,3.0599
1992-03-11,5935,0.7279,0.6109,3.8667,0.5317,16.4391,3.7162
1992-03-12,6715,0.5319,0.7279,0.6109,1.7492,16.9577,3.5946
1992-03-13,7749,10.1408,0.5319,0.7279,2.9954,15.7821,2.8973
1992-03-14,8684,6.7709,10.1408,0.5319,12.4597,16.34,3.6559
1992-03-15,9379,2.0722,6.7709,10.1408,10.7968,17.2934,3.9184
1992-03-16,8168,1.4235,2.0722,6.7709,0.38,17.6281,3.8062
1992-03-17,6013,10.6201,1.4235,2.0722,0.0379,16.535,2.949
1992-03-18,6451,9.728,10.6201,1.4235,16.2941,16.5145,3.2735
1992-03-19,7285,7.8259,9.728,10.6201,0.5488,16.6959,3.5193
1992-03-20,8318,15.3729,7.8259,9.728,0.1991,17.089,3.6713
1992-03-21,8628,8.1851,15.3729,7.8259,0.0078,17.7538,4.3118
1992-03-22,7226,12.4806,8.1851,15.3729,0.5869,17.5406,3.9877
1992-03-23,6394,4.4218,12.4806,8.1851,2.3012,16.6143,3.5335
1992-03-24,5429,7.3903,4.4218,12.4806,4.0952,16.5128,3.602
1992-03-25,5314,1.1978,7.3903,4.4218,7.5265,16.9096,3.6279
1992-03-26,4838,2.0113,1.1978,7.3903,9.6458,17.1423,4.2152
1992-03-27,4689,8.407,2.0113,1.1978,3.637,17.1066,4.0489
1992-03-28,4321,0.5175,8.407,2.0113,12.7398,17.1585,3.7617
1992-03-29,3647,1.3083,0.5175,8.407,6.6813,16.7433,3.5566
1992-03-30,3165,6.5688,1.3083,0.5175,0.8677,16.2667,3.247
1992-03-31,2990,5.4173,6.5688,1.3083,0.0122,15.7032,3.2317
1992-04-01,3456,2.2799,5.4173,6.5688,0.0612,16.4795,3.722
1992-04-02,3883,7.3817,2.2799,5.4173,0.1944,16.8615,3.7548
1992-04-03,4292,2.1488,7.3817,2.2799,0.5503,17.0236,3.7751
1992-04-04,4287,5.1088,2.1488,7.3817,0.7599,16.691,3.4216
1992-04-05,4503,9.196,5.1088,2.1488,3.3502,16.47,3.2182
1992-04-06,4866,0.005,9.196,5.1088,1.3693,16.6934,3.7133
1992-04-07,4757,0.0012,0.005,9.196,0.9068,16.9461,3.4648
1992-04-08,4305,0.1207,0.0012,0.005,11.3735,16.7496,3.3226
1992-04-09,4184,1.9533,0.1207,0.0012,3.8667,16.1931,3.0928
1992-04-10,5583,0.3583,1.9533,0.1207,0.6109,16.2613,3.0181
1992-04-11,6844,0.8968,0.3583,1.9533,0.7279,16.4177,3.4065
1992-04-12,7183,2.3717,0.8968,0.3583,0.5319,16.8073,3.7752
1992-04-13,6649,1.9128,2.3717,0.8968,10.1408,16.8072,3.7144
1992-04-14,5032,5.8217,1.9128,2.3717,6.7709,17.0437,3.6241
1992-04-15,4662,33.3852,5.8217,1.9128,2.0722,16.2445,3.2073
1992-04-16,5792,4.0161,33.3852,5.8217,1.4235,15.9742,2.9186
1992-04-17,5518,0.3357,4.0161,33.3852,10.6201,16.7566,3.3553
1992-04-18,4843,3.8099,0.3357,4.0161,9.728,16.8372,3.4856
1992-04-19,4372,2.1837,3.8099,0.3357,7.8259,17.1735,3.7491
1992-04-20,3986,2.6222,2.1837,3.8099,15.3729,17.1403,3.9112
1992-04-21,4004,18.8513,2.6222,2.1837,8.1851,16.8226,3.328
1992-04-22,4734,1.1375,18.8513,2.6222,12.4806,16.3503,2.9298
1992-04-23,4762,1.5995,1.1375,18.8513,4.4218,17.1208,3.3739
1992-04-24,4937,0.717,1.5995,1.1375,7.3903,16.8767,3.5945
1992-04-25,5231,1.0056,0.717,1.5995,1.1978,17.2909,3.3308
1992-04-26,5972,3.538,1.0056,0.717,2.0113,16.0496,2.7615
1992-04-27,8707,29.6704,3.538,1.0056,8.407,15.4837,2.5154
1992-04-28,8877,0.5294,29.6704,3.538,0.5175,16.0247,3.544
1992-04-29,7627,2.9836,0.5294,29.6704,1.3083,17.4879,3.7986
1992-04-30,5569,2.3415,2.9836,0.5294,6.5688,17.4272,3.5514
1992-05-01,4647,1.2114,2.3415,2.9836,5.4173,17.2945,3.5583
1992-05-02,4297,9.4476,1.2114,2.3415,2.2799,16.7958,3.4098
1992-05-03,3846,2.1222,9.4476,1.2114,7.3817,16.6283,3.3627
1992-05-04,3493,8.8529,2.1222,9.4476,2.1488,16.2546,3.3062
1992-05-05,3254,0.8691,8.8529,2.1222,5.1088,16.4343,3.1841
1992-05-06,3142,2.7743,0.8691,8.8529,9.196,16.7767,3.5855
1992-05-07,2702,0.9329,2.7743,0.8691,0.005,16.8171,3.4451
1992-05-08,2497,2.6458,0.9329,2.7743,0.0012,16.4325,3.4147
1992-05-09,2467,4.5017,2.6458,0.9329,0.1207,16.0019,3.0201
1992-05-10,3180,0.15,4.5017,2.6458,1.9533,16.6431,3.35
1992-05-11,3871,0.05,0.15,4.5017,0.3583,16.5623,3.5998
1992-05-12,3784,4.8777,0.05,0.15,0.8968,17.1113,3.6327
1992-05-13,4013,1.1264,4.8777,0.05,2.3717,16.6942,2.9492
1992-05-14,4664,9.0541,1.1264,4.8777,1.9128,15.7849,2.7534
1992-05-15,6081,0.1623,9.0541,1.1264,5.8217,15.872,3.0707
1992-05-16,5780,0.0342,0.1623,9.0541,33.3852,16.0552,3.03
1992-05-17,4904,0.0088,0.0342,0.1623,4.0161,16.4114,3.3832
1992-05-18,4007,0,0.0088,0.0342,0.3357,16.2279,3.3554
1992-05-19,3973,0.1119,0,0.0088,3.8099,16.1989,3.1863
1992-05-20,4015,1.0217,0.1119,0,2.1837,16.1797,2.9798
1992-05-21,4406,0.4476,1.0217,0.1119,2.6222,16.2317,3.2205
1992-05-22,4389,0.2779,0.4476,1.0217,18.8513,16.6324,3.2171
1992-05-23,4015,6.7698,0.2779,0.4476,1.1375,16.5969,3.4654
1992-05-24,4262,3.3186,6.7698,0.2779,1.5995,15.7573,3.0992
1992-05-25,4077,1.3122,3.3186,6.7698,0.717,16.116,3.2847
1992-05-26,3834,0.4482,1.3122,3.3186,1.0056,16.4085,3.4477
1992-05-27,3574,0.5008,0.4482,1.3122,3.538,16.8584,3.7984
1992-05-28,3427,3.0908,0.5008,0.4482,29.6704,16.9475,3.4585
