DATE,CAUDAL,PP,T,PET
01-01-99,12000,20.3,27.34855652,5.115762234
02-01-99,11440,4.7,27.99670982,4.96096468
03-01-99,10940,4.2,27.77490997,4.894914627
04-01-99,10760,0.0,27.36863136,4.784097672
05-01-99,10890,3.4,28.56064606,4.908072472
06-01-99,11220,10.6,27.90505981,5.004585743
07-01-99,11380,2.4,27.46790695,5.022744179
08-01-99,11520,11.9,27.05827904,5.148845673
09-01-99,11770,5.1,28.14482689,5.017290115
10-01-99,12140,36.2,26.9621563,5.032720566
11-01-99,12570,6.7,25.80636597,5.13140583
12-01-99,12880,31.5,27.55005455,5.053627968
13-01-99,13070,6.3,26.11969185,4.922314167
14-01-99,13250,24.6,26.3670845,5.068518639
15-01-99,13470,1.4,25.55041885,5.076187611
16-01-99,13680,27.3,26.72948074,4.966454029
17-01-99,13960,29.9,26.87257385,4.990684509
18-01-99,14460,26.1,27.19060326,5.054611683
19-01-99,15160,24.8,26.6789875,5.128266811
20-01-99,15860,0.2,26.35316849,5.137835979
21-01-99,16400,0.0,26.65258408,4.948409081
22-01-99,16840,0.1,26.90894127,4.746377945
23-01-99,17070,3.7,26.47633362,5.056723595
24-01-99,17320,0.1,26.97471237,4.941288471
25-01-99,17790,23.3,26.16580963,4.64866066
26-01-99,18390,7.5,26.30900192,4.817828655
27-01-99,19030,1.6,26.58269501,5.004811764
28-01-99,19580,19.4,27.0444603,5.116070747
29-01-99,20030,12.6,26.65704155,4.911162853
30-01-99,20410,56.0,26.99741936,4.640818119
31-01-99,20770,11.6,26.79805756,4.541290283
01-02-99,21100,10.0,27.59739876,4.778708458
02-02-99,21380,48.8,27.78266907,4.864830494
03-02-99,21670,0.0,25.88329697,4.965956688
04-02-99,21920,5.0,26.90087509,4.916318417
05-02-99,22100,42.0,26.28586006,4.93555975
06-02-99,22300,0.4,26.43107414,4.899444103
07-02-99,22440,55.5,26.9182415,4.811562538
08-02-99,22630,15.4,26.6651001,4.792078495
09-02-99,22750,18.6,26.56280899,4.874209881
10-02-99,22880,5.7,26.70711136,4.65998745
11-02-99,22980,7.4,25.11728668,4.673485279
12-02-99,23020,1.0,26.98796463,4.728137493
13-02-99,23140,0.0,25.91645622,4.550096512
14-02-99,23200,32.6,26.77427673,5.051268578
15-02-99,23270,0.2,26.33795166,4.778953552
16-02-99,23340,32.4,27.05707169,4.744993687
17-02-99,23410,1.3,25.64328003,4.780985832
18-02-99,23460,0.0,25.55605316,4.530290604
19-02-99,23520,17.6,26.19073105,4.677062511
20-02-99,23610,0.2,26.52809525,4.604311466
21-02-99,23700,19.8,25.83258438,4.733813286
22-02-99,23760,10.0,25.85273552,4.742602348
23-02-99,23800,6.4,25.69996071,4.8564233781
24-02-99,23840,3.9,26.70145226,4.809222221
25-02-99,23870,13.9,26.85867119,5.156104565
26-02-99,23900,27.0,27.19519043,4.646296024
27-02-99,23960,0.1,26.1431694,4.643173218
28-02-99,24010,2.9,27.1855545,4.521597862
01-03-99,24060,0.0,27.33563614,4.659631252
02-03-99,24080,3.9,27.65496063,4.701989651
03-03-99,24130,13.2,26.82343674,4.490070343
04-03-99,24150,10.0,26.69849014,4.556019306
05-03-99,24200,15.0,26.95594597,4.645673752
06-03-99,24250,0.0,26.90904236,4.627572536
07-03-99,24300,0.0,27.21298218,4.603941441
08-03-99,24320,0.0,28.15939903,5.011410236
09-03-99,24320,13.7,27.26165771,4.600909233
10-03-99,24320,0.0,25.78069305,4.503132343
11-03-99,24320,0.0,26.32836533,4.522729874
12-03-99,24310,0.2,25.66423798,4.453588486
13-03-99,24270,21.4,25.99237442,4.513623238
14-03-99,24200,40.5,27.00458908,4.488781452
15-03-99,24130,0.3,26.8795166,4.541413307
16-03-99,24060,10.4,27.0004425,4.389698029
17-03-99,23980,6.3,26.92391968,4.43847847
18-03-99,23870,13.9,27.6067009,4.46645546
19-03-99,23760,45.2,27.74716568,4.898394108
20-03-99,23680,23.0,26.85969162,4.473723412
21-03-99,23590,15.6,26.02796745,4.409523964
22-03-99,23390,0.0,26.37247086,4.303825378
23-03-99,23320,0.0,26.90485001,4.295304298
24-03-99,23260,81.3,27.66859627,4.284011841
25-03-99,23260,27.2,27.29437256,4.191234589
26-03-99,23220,47.0,26.97627258,4.25165844
27-03-99,23200,0.0,24.84194565,4.331158161
28-03-99,23180,0.1,26.96738052,4.31838131
29-03-99,23180,4.3,27.3831749,4.326480865
30-03-99,23180,23.0,27.6092453,4.946135044
31-03-99,23230,37.0,27.05849266,4.242939472
01-04-99,23330,4.9,25.35496521,4.333909035
02-04-99,23370,19.3,25.99186707,4.265220165
03-04-99,23410,15.5,26.10427094,4.245147228
04-04-99,23460,22.9,26.20356369,4.26012516
05-04-99,23530,0.1,25.77423286,4.2822299
06-04-99,23600,3.3,26.21110153,4.325358391
07-04-99,23610,0.0,26.2586441,4.298809528
08-04-99,23630,16.8,26.58781433,4.30034256
09-04-99,23680,30.3,26.68416214,4.116823673
10-04-99,23770,26.7,25.93051529,5.075746536
11-04-99,23860,0.0,25.35737991,4.046734333
12-04-99,23920,20.2,26.69026947,4.084938526
13-04-99,24010,1.3,27.16450691,4.058982849
14-04-99,24100,0.0,26.41965103,4.0722785
15-04-99,24220,106.9,26.79857826,4.247114658
16-04-99,24420,0.2,25.02133942,4.25331831
17-04-99,24600,0.0,24.89545059,4.121492386
18-04-99,24730,0.0,21.57862854,4.176143169
19-04-99,24850,0.0,23.71931839,4.183362007
20-04-99,24960,0.0,24.72290802,4.142080307
21-04-99,25080,7.9,25.67897415,4.977808952
22-04-99,25190,9.3,25.81179047,4.044598579
23-04-99,25310,0.1,26.04669952,4.08242321
24-04-99,25450,10.6,25.97057343,4.036650658
25-04-99,25590,0.1,24.92146492,4.049389839
26-04-99,25700,7.2,26.00190353,4.016518593
27-04-99,25790,0.0,26.3613987,4.055151463
28-04-99,25880,0.5,26.00919724,3.965018272
29-04-99,25950,11.5,26.31832504,4.039759159
30-04-99,26040,40.1,25.8596077,4.051398754
01-05-99,26130,0.2,24.89083481,4.047566414
02-05-99,26240,36.4,25.79452705,4.768289566
03-05-99,26350,0.0,25.54563713,4.119332314
04-05-99,26450,0.0,26.18409729,4.04406786
05-05-99,26520,0.0,26.26874161,3.94841218
06-05-99,26570,0.4,25.98109436,4.069233894
07-05-99,26630,32.2,26.18199158,3.945826769
08-05-99,26680,14.0,26.81037712,4.122575283
09-05-99,26730,0.0,26.02060318,4.021494389
10-05-99,26750,6.4,26.92430878,4.087853909
11-05-99,26760,13.4,26.5041523,4.102258682
12-05-99,26900,0.0,24.01052094,4.055238247
13-05-99,26920,0.1,24.84298325,4.91848278
14-05-99,26900,0.1,25.47451782,4.95070076
15-05-99,26900,0.6,25.10287476,3.985095263
16-05-99,26900,0.0,26.09177017,4.023638725
17-05-99,26910,0.5,25.68133545,4.01499176
18-05-99,26910,21.2,25.60066032,3.859988213
19-05-99,27020,0.2,25.24449539,3.979091406
20-05-99,27010,0.1,25.31641388,3.975376844
21-05-99,26960,13.0,24.64861679,3.884296894
22-05-99,26910,0.0,25.29128647,3.628923893
23-05-99,26880,0.4,26.16913986,3.79238081
24-05-99,26860,0.1,25.25844193,3.767338991
25-05-99,26810,0.2,25.45017242,5.041321754
26-05-99,26750,0.1,26.38278961,3.941868782
27-05-99,26670,0.3,26.9732933,4.038268566
28-05-99,26640,0.0,25.883955,4.101421833
29-05-99,26600,0.6,26.51120758,4.10434866
30-05-99,26500,0.0,26.24165344,4.096839905
31-05-99,26410,0.0,25.12591362,4.105824471
01-06-99,26310,0.0,24.36399078,3.86930871
02-06-99,26200,0.1,25.32312393,4.019872189
03-06-99,26090,0.0,25.70301056,3.844841719
04-06-99,26090,0.0,25.55287933,3.707826138
05-06-99,25820,0.3,25.84992981,5.084754467
06-06-99,25650,0.0,25.15328789,3.835357666
07-06-99,25520,0.0,25.74106598,3.948843479
08-06-99,25380,0.0,25.98484421,3.988758802
09-06-99,25280,0.0,26.09061813,3.85387969
10-06-99,25040,20.7,26.7105217,3.819024563
11-06-99,24760,6.8,25.67770195,3.936100245
12-06-99,24540,0.1,26.31081772,4.020887375
13-06-99,24300,0.8,25.83153915,4.190496445
14-06-99,24080,6.1,26.72286224,4.044942856
15-06-99,23840,0.0,26.72122955,4.313176632
16-06-99,23610,11.6,26.95409393,5.091862202
17-06-99,23400,11.4,26.88015747,4.324706078
18-06-99,23220,5.3,26.80877304,4.327615738
19-06-99,23030,0.6,26.87124252,4.097275257
20-06-99,22870,0.2,26.25380325,4.108436108
21-06-99,22710,6.1,25.23813248,3.929596901
22-06-99,22540,0.0,25.26682281,4.086744785
23-06-99,22380,0.0,26.12403488,4.167797089
24-06-99,22240,0.0,26.55186272,4.217619419
25-06-99,22130,13.1,26.15178108,4.140103817
26-06-99,22050,16.4,26.36120224,4.139181614
27-06-99,21960,0.1,25.68151665,4.70583725
28-06-99,21860,4.6,25.91520119,4.364534855
29-06-99,21750,0.0,26.51787567,4.326974392
30-06-99,21600,1.6,26.26104355,4.175991535
01-07-99,21420,18.0,25.85546875,4.278762341
02-07-99,21240,8.5,26.29235458,4.268998146
03-07-99,21060,0.0,26.28045273,4.426687717
04-07-99,20870,12.0,26.43899536,4.426764965
05-07-99,20690,0.5,25.86333466,4.426683426
06-07-99,20570,0.0,21.8486824,4.382255077
07-07-99,20420,0.0,22.50536156,4.483299732
08-07-99,20200,0.0,23.40992737,5.022882462
09-07-99,19950,0.0,24.22171021,4.474680901
10-07-99,19790,0.0,24.77618408,4.432940006
11-07-99,19690,0.0,24.96278,4.270768166
12-07-99,19620,0.1,25.96860886,4.512227058
13-07-99,19440,1.0,25.86618423,4.553334236
14-07-99,19130,0.0,24.79940033,4.460314751
15-07-99,18680,0.0,25.85123062,4.538931847
16-07-99,18010,0.0,25.6369133,4.671336651
17-07-99,17370,0.0,25.82331085,4.695749283
18-07-99,16890,1.2,26.20437622,4.737896442
19-07-99,16420,0.0,25.64375114,5.218477726
20-07-99,15950,0.0,25.61508179,4.772300243
21-07-99,15440,35.7,26.3113327,4.795275688
22-07-99,15040,0.0,24.89057732,4.546090603
23-07-99,14880,5.7,25.45095444,4.644869804
24-07-99,14880,0.0,24.43018532,4.422966957
25-07-99,15040,0.0,25.85382462,4.524851322
26-07-99,15100,47.1,25.46538734,4.682307243
27-07-99,15000,0.0,26.3939476,4.749083519
28-07-99,14970,0.0,25.42528534,4.721333504
29-07-99,15060,0.0,24.64703751,4.45078373
30-07-99,15220,0.0,26.00001717,5.185826302
31-07-99,15240,0.0,26.60609055,4.647144318
01-08-99,15230,0.0,26.01412392,4.749179363
02-08-99,15210,0.0,25.58108711,4.916489124
03-08-99,15080,0.0,26.1480217,4.876496792
04-08-99,14830,0.0,26.37773132,4.909182549
05-08-99,14310,0.0,26.12712097,4.817208767
06-08-99,13840,0.0,27.08790588,4.62336874
07-08-99,13340,13.0,27.36973572,4.55978632
08-08-99,12750,0.0,24.24874878,4.825286388
09-08-99,12120,0.0,24.49795914,4.870615482
10-08-99,11550,0.1,25.31180191,4.919679642
11-08-99,11230,0.0,25.98015213,4.835512161
12-08-99,11360,0.0,25.61275864,4.826237202
13-08-99,11700,0.1,26.63522339,4.889046669
14-08-99,11870,3.2,25.5353241,4.936739445
15-08-99,11820,0.0,23.25574303,4.962267399
16-08-99,11590,0.0,20.93949509,4.902145863
17-08-99,11480,0.0,22.2162075,4.980084419
18-08-99,11770,0.0,23.35457993,4.812766075
19-08-99,12500,0.0,24.74920845,4.738380909
20-08-99,13200,0.0,25.67674637,4.70605278
21-08-99,13440,0.0,26.40589905,4.999475479
22-08-99,13070,7.1,26.50047493,4.773530006
23-08-99,12400,1.4,26.02171326,4.916018486
24-08-99,11770,0.3,26.58527756,4.987922668
25-08-99,10960,0.0,26.76857758,5.059144974
26-08-99,10530,15.3,26.5544014,4.87939167
27-08-99,9712,0.0,27.00382614,4.982729435
28-08-99,9129,8.0,27.21242714,5.100683689
29-08-99,8681,9.3,27.15209961,5.180940628
30-08-99,8294,0.0,27.40902328,5.039579868
31-08-99,8045,0.0,27.25790787,4.823974609
01-09-99,7941,0.0,27.51192474,5.028283596
02-09-99,7880,1.2,27.21647644,4.997999668
03-09-99,7792,1.0,27.14589691,4.920456886
04-09-99,7670,0.2,27.038517,4.832993031
05-09-99,7514,0.0,28.03197861,4.780824184
06-09-99,7343,0.0,28.67614174,4.904505253
07-09-99,7193,0.6,28.85519218,4.839035511
08-09-99,7115,2.7,28.84449577,4.955626965
09-09-99,7126,2.7,28.69987106,4.952469826
10-09-99,7083,13.7,27.7826519,5.091124058
11-09-99,6918,0.0,26.07071304,5.119776726
12-09-99,6674,0.0,27.14281082,4.944429398
13-09-99,6503,0.0,27.93600464,5.040893078
14-09-99,6433,3.3,28.30207825,5.009995937
