DATE;CAUDAL;PP;PP_anterior;T;PET;NDVI
1999-01-01;12000;7.4;20.3;27.3;5.1;NA
1999-01-02;11440;20.3;4.7;28;5;NA
1999-01-03;10940;4.7;4.2;27.8;4.9;NA
1999-01-04;10760;4.2;0;27.4;4.8;NA
1999-01-05;10890;0;3.4;28.6;4.9;NA
1999-01-06;11220;3.4;10.6;27.9;5;NA
1999-01-07;11380;10.6;2.4;27.5;5;NA
1999-01-08;11520;2.4;11.9;27.1;5.1;NA
1999-01-09;11770;11.9;5.1;28.1;5;NA
1999-01-10;12140;5.1;36.2;27;5;NA
1999-01-11;12570;36.2;6.7;25.8;5.1;NA
1999-01-12;12880;6.7;31.5;27.6;5.1;NA
1999-01-13;13070;31.5;6.3;26.1;4.9;NA
1999-01-14;13250;6.3;24.6;26.4;5.1;NA
1999-01-15;13470;24.6;1.4;25.6;5.1;NA
1999-01-16;13680;1.4;27.3;26.7;5;NA
1999-01-17;13960;27.3;29.9;26.9;5;NA
1999-01-18;14460;29.9;26.1;27.2;5.1;NA
1999-01-19;15160;26.1;24.8;26.7;5.1;NA
1999-01-20;15860;24.8;0.2;26.4;5.1;NA
1999-01-21;16400;0.2;0;26.7;4.9;NA
1999-01-22;16840;0;0.1;26.9;4.7;NA
1999-01-23;17070;0.1;3.7;26.5;5.1;NA
1999-01-24;17320;3.7;0.1;27;4.9;NA
1999-01-25;17790;0.1;23.3;26.2;4.6;NA
1999-01-26;18390;23.3;7.5;26.3;4.8;NA
1999-01-27;19030;7.5;1.6;26.6;5;NA
1999-01-28;19580;1.6;19.4;27;5.1;NA
1999-01-29;20030;19.4;12.6;26.7;4.9;NA
1999-01-30;20410;12.6;56;27;4.6;NA
1999-01-31;20770;56;11.6;26.8;4.5;NA
1999-02-01;21100;11.6;10;27.6;4.8;NA
1999-02-02;21380;10;48.8;27.8;4.9;NA
1999-02-03;21670;48.8;0;25.9;5;NA
1999-02-04;21920;0;5;26.9;4.9;NA
1999-02-05;22100;5;42;26.3;4.9;NA
1999-02-06;22300;42;0.4;26.4;4.9;NA
1999-02-07;22440;0.4;55.5;26.9;4.8;NA
1999-02-08;22630;55.5;15.4;26.7;4.8;NA
1999-02-09;22750;15.4;18.6;26.6;4.9;NA
1999-02-10;22880;18.6;5.7;26.7;4.7;NA
1999-02-11;22980;5.7;7.4;25.1;4.7;NA
1999-02-12;23020;7.4;1;27;4.7;NA
1999-02-13;23140;1;0;25.9;4.6;NA
1999-02-14;23200;0;32.6;26.8;5.1;NA
1999-02-15;23270;32.6;0.2;26.3;4.8;NA
1999-02-16;23340;0.2;32.4;27.1;4.7;NA
1999-02-17;23410;32.4;1.3;25.6;4.8;NA
1999-02-18;23460;1.3;0;25.6;4.5;NA
1999-02-19;23520;0;17.6;26.2;4.7;NA
1999-02-20;23610;17.6;0.2;26.5;4.6;NA
1999-02-21;23700;0.2;19.8;25.8;4.7;NA
1999-02-22;23760;19.8;10;25.9;4.7;NA
1999-02-23;23800;10;6.4;25.7;4.9;NA
1999-02-24;23840;6.4;3.9;26.7;4.8;NA
1999-02-25;23870;3.9;13.9;26.9;5.2;NA
1999-02-26;23900;13.9;27;27.2;4.6;NA
1999-02-27;23960;27;0.1;26.1;4.6;NA
1999-02-28;24010;0.1;2.9;27.2;4.5;NA
1999-03-01;24060;2.9;0;27.3;4.7;NA
1999-03-02;24080;0;3.9;27.7;4.7;NA
1999-03-03;24130;3.9;13.2;26.8;4.5;NA
1999-03-04;24150;13.2;10;26.7;4.6;NA
1999-03-05;24200;10;15;27;4.6;NA
1999-03-06;24250;15;0;26.9;4.6;NA
1999-03-07;24300;0;0;27.2;4.6;NA
1999-03-08;24320;0;0;28.2;5;NA
1999-03-09;24320;0;13.7;27.3;4.6;NA
1999-03-10;24320;13.7;0;25.8;4.5;NA
1999-03-11;24320;0;0;26.3;4.5;NA
1999-03-12;24310;0;0.2;25.7;4.5;NA
1999-03-13;24270;0.2;21.4;26;4.5;NA
1999-03-14;24200;21.4;40.5;27;4.5;NA
1999-03-15;24130;40.5;0.3;26.9;4.5;NA
1999-03-16;24060;0.3;10.4;27;4.4;NA
1999-03-17;23980;10.4;6.3;26.9;4.4;NA
1999-03-18;23870;6.3;13.9;27.6;4.5;NA
1999-03-19;23760;13.9;45.2;27.7;4.9;NA
1999-03-20;23680;45.2;23;26.9;4.5;NA
1999-03-21;23590;23;15.6;26;4.4;NA
1999-03-22;23390;15.6;0;26.4;4.3;NA
1999-03-23;23320;0;0;26.9;4.3;NA
1999-03-24;23260;0;81.3;27.7;4.3;NA
1999-03-25;23260;81.3;27.2;27.3;4.2;NA
1999-03-26;23220;27.2;47;27;4.3;NA
1999-03-27;23200;47;0;24.8;4.3;NA
1999-03-28;23180;0;0.1;27;4.3;NA
1999-03-29;23180;0.1;4.3;27.4;4.3;NA
1999-03-30;23180;4.3;23;27.6;4.9;NA
1999-03-31;23230;23;37;27.1;4.2;NA
1999-04-01;23330;37;4.9;25.4;4.3;NA
1999-04-02;23370;4.9;19.3;26;4.3;NA
1999-04-03;23410;19.3;15.5;26.1;4.2;NA
1999-04-04;23460;15.5;22.9;26.2;4.3;NA
1999-04-05;23530;22.9;0.1;25.8;4.3;NA
1999-04-06;23600;0.1;3.3;26.2;4.3;NA
1999-04-07;23610;3.3;0;26.3;4.3;NA
1999-04-08;23630;0;16.8;26.6;4.3;NA
1999-04-09;23680;16.8;30.3;26.7;4.1;NA
1999-04-10;23770;30.3;26.7;25.9;5.1;NA
1999-04-11;23860;26.7;0;25.4;4;NA
1999-04-12;23920;0;20.2;26.7;4.1;NA
1999-04-13;24010;20.2;1.3;27.2;4.1;NA
1999-04-14;24100;1.3;0;26.4;4.1;NA
1999-04-15;24220;0;106.9;26.8;4.2;NA
1999-04-16;24420;106.9;0.2;25;4.3;NA
1999-04-17;24600;0.2;0;24.9;4.1;NA
1999-04-18;24730;0;0;21.6;4.2;NA
1999-04-19;24850;0;0;23.7;4.2;NA
1999-04-20;24960;0;0;24.7;4.1;NA
1999-04-21;25080;0;7.9;25.7;5;NA
1999-04-22;25190;7.9;9.3;25.8;4;NA
1999-04-23;25310;9.3;0.1;26;4.1;NA
1999-04-24;25450;0.1;10.6;26;4;NA
1999-04-25;25590;10.6;0.1;24.9;4;NA
1999-04-26;25700;0.1;7.2;26;4;NA
1999-04-27;25790;7.2;0;26.4;4.1;NA
1999-04-28;25880;0;0.5;26;4;NA
1999-04-29;25950;0.5;11.5;26.3;4;NA
1999-04-30;26040;11.5;40.1;25.9;4.1;NA
1999-05-01;26130;40.1;0.2;24.9;4;NA
1999-05-02;26240;0.2;36.4;25.8;4.8;NA
1999-05-03;26350;36.4;0;25.5;4.1;NA
1999-05-04;26450;0;0;26.2;4;NA
1999-05-05;26520;0;0;26.3;3.9;NA
1999-05-06;26570;0;0.4;26;4.1;NA
1999-05-07;26630;0.4;32.2;26.2;3.9;NA
1999-05-08;26680;32.2;14;26.8;4.1;NA
1999-05-09;26730;14;0;26;4;NA
1999-05-10;26750;0;6.4;26.9;4.1;NA
1999-05-11;26760;6.4;13.4;26.5;4.1;NA
1999-05-12;26900;13.4;0;24;4.1;NA
1999-05-13;26920;0;0.1;24.8;4.9;NA
1999-05-14;26900;0.1;0.1;25.5;5;NA
1999-05-15;26900;0.1;0.6;25.1;4;NA
1999-05-16;26900;0.6;0;26.1;4;NA
1999-05-17;26910;0;0.5;25.7;4;NA
1999-05-18;26910;0.5;21.2;25.6;3.9;NA
1999-05-19;27020;21.2;0.2;25.2;4;NA
1999-05-20;27010;0.2;0.1;25.3;4;NA
1999-05-21;26960;0.1;13;24.6;3.9;NA
1999-05-22;26910;13;0;25.3;3.6;NA
1999-05-23;26880;0;0.4;26.2;3.8;NA
1999-05-24;26860;0.4;0.1;25.3;3.8;NA
1999-05-25;26810;0.1;0.2;25.5;5;NA
1999-05-26;26750;0.2;0.1;26.4;3.9;NA
1999-05-27;26670;0.1;0.3;27;4;NA
1999-05-28;26640;0.3;0;25.9;4.1;NA
1999-05-29;26600;0;0.6;26.5;4.1;NA
1999-05-30;26500;0.6;0;26.2;4.1;NA
1999-05-31;26410;0;0;25.1;4.1;NA
1999-06-01;26310;0;0;24.4;3.9;NA
1999-06-02;26200;0;0.1;25.3;4;NA
1999-06-03;26090;0.1;0;25.7;3.8;NA
1999-06-04;26090;0;0;25.6;3.7;NA
1999-06-05;25820;0;0.3;25.8;5.1;NA
1999-06-06;25650;0.3;0;25.2;3.8;NA
1999-06-07;25520;0;0;25.7;3.9;NA
1999-06-08;25380;0;0;26;4;NA
1999-06-09;25280;0;0;26.1;3.9;NA
1999-06-10;25040;0;20.7;26.7;3.8;NA
1999-06-11;24760;20.7;6.8;25.7;3.9;NA
1999-06-12;24540;6.8;0.1;26.3;4;NA
1999-06-13;24300;0.1;0.8;25.8;4.2;NA
1999-06-14;24080;0.8;6.1;26.7;4;NA
1999-06-15;23840;6.1;0;26.7;4.3;NA
1999-06-16;23610;0;11.6;27;5.1;NA
1999-06-17;23400;11.6;11.4;26.9;4.3;NA
1999-06-18;23220;11.4;5.3;26.8;4.3;NA
1999-06-19;23030;5.3;0.6;26.9;4.1;NA
1999-06-20;22870;0.6;0.2;26.3;4.1;NA
1999-06-21;22710;0.2;6.1;25.2;3.9;NA
1999-06-22;22540;6.1;0;25.3;4.1;NA
1999-06-23;22380;0;0;26.1;4.2;NA
1999-06-24;22240;0;0;26.6;4.2;NA
1999-06-25;22130;0;13.1;26.2;4.1;NA
1999-06-26;22050;13.1;16.4;26.4;4.1;NA
1999-06-27;21960;16.4;0.1;25.7;4.7;NA
1999-06-28;21860;0.1;4.6;25.9;4.4;NA
1999-06-29;21750;4.6;0;26.5;4.3;NA
1999-06-30;21600;0;1.6;26.3;4.2;NA
1999-07-01;21420;1.6;18;25.9;4.3;NA
1999-07-02;21240;18;8.5;26.3;4.3;NA
1999-07-03;21060;8.5;0;26.3;4.4;NA
1999-07-04;20870;0;12;26.4;4.4;NA
1999-07-05;20690;12;0.5;25.9;4.4;NA
1999-07-06;20570;0.5;0;21.8;4.4;NA
1999-07-07;20420;0;0;22.5;4.5;NA
1999-07-08;20200;0;0;23.4;5;NA
1999-07-09;19950;0;0;24.2;4.5;NA
1999-07-10;19790;0;0;24.8;4.4;NA
1999-07-11;19690;0;0;25;4.3;NA
1999-07-12;19620;0;0.1;26;4.5;NA
1999-07-13;19440;0.1;1;25.9;4.6;NA
1999-07-14;19130;1;0;24.8;4.5;NA
1999-07-15;18680;0;0;25.9;4.5;NA
1999-07-16;18010;0;0;25.6;4.7;NA
1999-07-17;17370;0;0;25.8;4.7;NA
1999-07-18;16890;0;1.2;26.2;4.7;NA
1999-07-19;16420;1.2;0;25.6;5.2;NA
1999-07-20;15950;0;0;25.6;4.8;NA
1999-07-21;15440;0;35.7;26.3;4.8;NA
1999-07-22;15040;35.7;0;24.9;4.5;NA
1999-07-23;14880;0;5.7;25.5;4.6;NA
1999-07-24;14880;5.7;0;24.4;4.4;NA
1999-07-25;15040;0;0;25.9;4.5;NA
1999-07-26;15100;0;47.1;25.5;4.7;NA
1999-07-27;15000;47.1;0;26.4;4.7;NA
1999-07-28;14970;0;0;25.4;4.7;NA
1999-07-29;15060;0;0;24.6;4.5;NA
1999-07-30;15220;0;0;26;5.2;NA
1999-07-31;15240;0;0;26.6;4.6;NA
1999-08-01;15230;0;0;26;4.7;NA
