DATE,CAUDAL,PP,PP_anterior,T,PET
01-01-99,12000,7.4,20.3,27.3,5.1
02-01-99,11440,20.3,4.7,28.0,5.0
03-01-99,10940,4.7,4.2,27.8,4.9
04-01-99,10760,4.2,0,27.4,4.8
05-01-99,10890,0,3.4,28.6,4.9
06-01-99,11220,3.4,10.6,27.9,5.0
07-01-99,11380,10.6,2.4,27.5,5.0
08-01-99,11520,2.4,11.9,27.1,5.1
09-01-99,11770,11.9,5.1,28.1,5.0
10-01-99,12140,5.1,36.2,27.0,5.0
11-01-99,12570,36.2,6.7,25.8,5.1
12-01-99,12880,6.7,31.5,27.6,5.1
13-01-99,13070,31.5,6.3,26.1,4.9
14-01-99,13250,6.3,24.6,26.4,5.1
15-01-99,13470,24.6,1.4,25.6,5.1
16-01-99,13680,1.4,27.3,26.7,5.0
17-01-99,13960,27.3,29.9,26.9,5.0
18-01-99,14460,29.9,26.1,27.2,5.1
19-01-99,15160,26.1,24.8,26.7,5.1
20-01-99,15860,24.8,0.2,26.4,5.1
21-01-99,16400,0.2,0,26.7,4.9
22-01-99,16840,0,0.1,26.9,4.7
23-01-99,17070,0.1,3.7,26.5,5.1
24-01-99,17320,3.7,0.1,27.0,4.9
25-01-99,17790,0.1,23.3,26.2,4.6
26-01-99,18390,23.3,7.5,26.3,4.8
27-01-99,19030,7.5,1.6,26.6,5.0
28-01-99,19580,1.6,19.4,27.0,5.1
29-01-99,20030,19.4,12.6,26.7,4.9
30-01-99,20410,12.6,56,27.0,4.6
31-01-99,20770,56,11.6,26.8,4.5
01-02-99,21100,11.6,10,27.6,4.8
02-02-99,21380,10,48.8,27.8,4.9
03-02-99,21670,48.8,0,25.9,5.0
04-02-99,21920,0,5,26.9,4.9
05-02-99,22100,5,42,26.3,4.9
06-02-99,22300,42,0.4,26.4,4.9
07-02-99,22440,0.4,55.5,26.9,4.8
08-02-99,22630,55.5,15.4,26.7,4.8
09-02-99,22750,15.4,18.6,26.6,4.9
10-02-99,22880,18.6,5.7,26.7,4.7
11-02-99,22980,5.7,7.4,25.1,4.7
12-02-99,23020,7.4,1,27.0,4.7
13-02-99,23140,1,0,25.9,4.6
14-02-99,23200,0,32.6,26.8,5.1
15-02-99,23270,32.6,0.2,26.3,4.8
16-02-99,23340,0.2,32.4,27.1,4.7
17-02-99,23410,32.4,1.3,25.6,4.8
18-02-99,23460,1.3,0,25.6,4.5
19-02-99,23520,0,17.6,26.2,4.7
20-02-99,23610,17.6,0.2,26.5,4.6
21-02-99,23700,0.2,19.8,25.8,4.7
22-02-99,23760,19.8,10,25.9,4.7
23-02-99,23800,10,6.4,25.7,4.9
24-02-99,23840,6.4,3.9,26.7,4.8
25-02-99,23870,3.9,13.9,26.9,5.2
26-02-99,23900,13.9,27,27.2,4.6
27-02-99,23960,27,0.1,26.1,4.6
28-02-99,24010,0.1,2.9,27.2,4.5
01-03-99,24060,2.9,0,27.3,4.7
02-03-99,24080,0,3.9,27.7,4.7
03-03-99,24130,3.9,13.2,26.8,4.5
04-03-99,24150,13.2,10,26.7,4.6
05-03-99,24200,10,15,27.0,4.6
06-03-99,24250,15,0,26.9,4.6
07-03-99,24300,0,0,27.2,4.6
08-03-99,24320,0,0,28.2,5.0
09-03-99,24320,0,13.7,27.3,4.6
10-03-99,24320,13.7,0,25.8,4.5
11-03-99,24320,0,0,26.3,4.5
12-03-99,24310,0,0.2,25.7,4.5
13-03-99,24270,0.2,21.4,26.0,4.5
14-03-99,24200,21.4,40.5,27.0,4.5
15-03-99,24130,40.5,0.3,26.9,4.5
16-03-99,24060,0.3,10.4,27.0,4.4
17-03-99,23980,10.4,6.3,26.9,4.4
18-03-99,23870,6.3,13.9,27.6,4.5
19-03-99,23760,13.9,45.2,27.7,4.9
20-03-99,23680,45.2,23,26.9,4.5
21-03-99,23590,23,15.6,26.0,4.4
22-03-99,23390,15.6,0,26.4,4.3
23-03-99,23320,0,0,26.9,4.3
24-03-99,23260,0,81.3,27.7,4.3
25-03-99,23260,81.3,27.2,27.3,4.2
26-03-99,23220,27.2,47,27.0,4.3
27-03-99,23200,47,0,24.8,4.3
28-03-99,23180,0,0.1,27.0,4.3
29-03-99,23180,0.1,4.3,27.4,4.3
30-03-99,23180,4.3,23,27.6,4.9
31-03-99,23230,23,37,27.1,4.2
01-04-99,23330,37,4.9,25.4,4.3
02-04-99,23370,4.9,19.3,26.0,4.3
03-04-99,23410,19.3,15.5,26.1,4.2
04-04-99,23460,15.5,22.9,26.2,4.3
05-04-99,23530,22.9,0.1,25.8,4.3
06-04-99,23600,0.1,3.3,26.2,4.3
07-04-99,23610,3.3,0,26.3,4.3
08-04-99,23630,0,16.8,26.6,4.3
09-04-99,23680,16.8,30.3,26.7,4.1
10-04-99,23770,30.3,26.7,25.9,5.1
11-04-99,23860,26.7,0,25.4,4.0
12-04-99,23920,0,20.2,26.7,4.1
13-04-99,24010,20.2,1.3,27.2,4.1
14-04-99,24100,1.3,0,26.4,4.1
