date,q,pp,t,pet
1999-01-01,2312,19.9009,23.4372,4.372638739
1999-01-02,2516,19.0739,23.5965,4.398892563
1999-01-03,2799,20.4492,23.0003,4.309025205
1999-01-04,3300,24.9256,23.3844,4.370124707
1999-01-05,3590,21.9157,23.8712,4.447216653
1999-01-06,4118,17.9299,23.138,4.336479187
1999-01-07,4146,2.5905,22.6836,4.268724173
1999-01-08,4099,4.4137,23.3663,4.376432477
1999-01-09,4058,0.5979,24.723,4.588411165
1999-01-10,4027,17.2306,23.4239,4.390512513
1999-01-11,4000,11.6817,22.16,4.197903713
1999-01-12,3982,1.1447,22.8218,4.302966094
1999-01-13,3952,8.7366,23.147,4.356153494
1999-01-14,3900,16.3728,22.1376,4.20280018
1999-01-15,3868,0,22.7152,4.295254949
1999-01-16,3901,49.9139,23.1075,4.359168291
1999-01-17,3907,2.8288,23.1743,4.372716951
1999-01-18,4032,2.7885,21.9163,4.180576618
1999-01-19,4141,10.9257,22.0441,4.203597986
1999-01-20,4330,0,22.2659,4.241319025
1999-01-21,4550,2.3881,22.8843,4.340875903
1999-01-22,4790,3.1817,22.2583,4.246746867
1999-01-23,5117,0,21.9687,4.204946372
1999-01-24,5436,0,22.864,4.347994564
1999-01-25,5775,14.0053,23.601,4.466562829
1999-01-26,6118,78.0302,22.3646,4.27689922
1999-01-27,6402,0,22.2009,4.254722263
1999-01-28,6717,1.3847,23.5338,4.466787441
1999-01-29,6864,17.3691,22.5495,4.316146522
1999-01-30,6971,11.7868,22.2798,4.277291268
1999-01-31,6952,0,22.9212,4.381316748
1999-02-01,6458,5.6133,23.43,4.464650289
1999-02-02,6577,12.3778,23.1735,4.427798319
1999-02-03,6846,9.264,22.7179,4.359528881
1999-02-04,7018,19.9564,21.883,4.231401946
1999-02-05,7194,3.0359,21.8204,4.224677502
1999-02-06,7349,11.8243,23.073,4.425197828
1999-02-07,7511,16.7591,22.6491,4.361476695
1999-02-08,7673,41.7912,21.8638,4.240540186
1999-02-09,7897,0.9653,22.6669,4.370259872
1999-02-10,8101,9.0371,22.6992,4.378226413
1999-02-11,8281,11.8928,22.8254,4.400957815
1999-02-12,8513,0.8758,23.4155,4.497030518
1999-02-13,8685,14.3108,23.6974,4.544301647
1999-02-14,8794,9.269,22.9096,4.422022986
1999-02-15,8868,22.9441,22.7044,4.39184525
1999-02-16,8969,1.1801,22.5257,4.365711886
1999-02-17,9043,36.2498,21.844,4.259604624
1999-02-18,8929,4.0819,22.0729,4.297823457
1999-02-19,8802,44.0845,21.9144,4.274408685
1999-02-20,8696,2.3919,22.6733,4.396581324
1999-02-21,8601,17.5353,22.8802,4.430957679
1999-02-22,8604,24.2208,22.8755,4.431555188
1999-02-23,9398,24.9651,22.5626,4.382976839
1999-02-24,9919,22.7724,22.2587,4.335636468
1999-02-25,10000,8.9835,23.6354,4.555462331
1999-02-26,10080,8.6679,23.3151,4.505169054
1999-02-27,10030,12.0529,22.8615,4.433463479
1999-02-28,9988,4.3551,23.6535,4.559774941
1999-03-01,10080,9.6291,24.1134,4.633047787
1999-03-02,9772,8.8019,24.1188,4.633787324
1999-03-03,7709,17.9001,22.1892,4.326414292
1999-03-04,7564,17.4849,22.6713,4.402610055
1999-03-05,7122,4.4298,24.013,4.615320673
1999-03-06,6652,39.4488,23.1622,4.479027191
1999-03-07,6730,2.3468,23.5298,4.536310024
1999-03-08,6649,22.3176,24.3416,4.663944856
1999-03-09,6672,5.015,24.0898,4.622260845
1999-03-10,6546,1.9487,24.156,4.630885207
1999-03-11,6767,28.0491,21.647,4.230432885
1999-03-12,6586,0.515,21.8672,4.263214456
1999-03-13,5774,18.5792,21.9878,4.279945593
1999-03-14,5476,4.0636,23.1972,4.46899958
1999-03-15,5379,27.0511,22.9127,4.420966203
1999-03-16,4972,15.5259,23.3152,4.481499565
1999-03-17,4965,27.8418,22.7388,4.386893204
1999-03-18,5249,3.7785,23.2676,4.466848669
1999-03-19,6272,15.3273,23.6107,4.51711256
1999-03-20,6134,42.2934,22.7208,4.372557531
1999-03-21,5592,26.5656,22.1548,4.279085499
1999-03-22,4913,0,22.3271,4.301795587
1999-03-23,4340,0.1562,22.8491,4.37921847
1999-03-24,4421,2.4837,23.2889,4.443326021
1999-03-25,4641,11.7713,22.6728,4.34139661
1999-03-26,5803,50.2345,22.0842,4.243794223
1999-03-27,6776,11.2859,22.257,4.265364785
1999-03-28,6652,1.218,23.7118,4.487003691
1999-03-29,5379,1.5673,24.4237,4.59186855
1999-03-30,4935,6.3424,23.5419,4.447845686
1999-03-31,5159,42.1771,22.7117,4.312046541
1999-04-01,6506,5.1334,22.3023,4.241817704
1999-04-02,6070,6.9502,22.202,4.21954342
1999-04-03,5432,11.5245,22.6355,4.279800272
1999-04-04,4988,37.3076,22.7267,4.286728298
1999-04-05,5646,16.2909,22.3057,4.214374371
1999-04-06,5502,5.2822,23.3741,4.371542856
1999-04-07,5362,1.3542,23.1341,4.326729715
1999-04-08,5722,16.3185,23.4028,4.359971805
1999-04-09,6767,56.1276,22.2167,4.169998852
1999-04-10,8862,14.9592,21.8486,4.10565739
1999-04-11,9617,0.9263,22.116,4.138380657
1999-04-12,10010,0.8875,22.9929,4.263636213
1999-04-13,9096,24.4843,23.3054,4.302424201
1999-04-14,8214,9.5814,23.5035,4.323531426
1999-04-15,8156,61.7446,22.8022,4.20824968
1999-04-16,9882,0,22.1842,4.10588539
1999-04-17,11220,0,21.2141,3.950752311
1999-04-18,10540,0,20.1044,3.775170663
1999-04-19,10470,0,19.8288,3.725395135
1999-04-20,13080,0,20.4646,3.81216778
1999-04-21,11460,0,21.2311,3.917956019
1999-04-22,9028,0.0792,22.2972,4.067795895
1999-04-23,8305,9.2553,21.8499,3.991834754
