Date,CAUDAL,PP,T,PET,NDVI
1999-01-01,2312,3.6,27.2,5.1,0.451
1999-01-02,2516,5.5,28.1,5,0.466
1999-01-03,2799,4.4,27.4,5,0.455
1999-01-04,3300,9.7,27.6,5.1,0.458
1999-01-05,3590,11,28.4,5,0.471
1999-01-06,4118,9.1,28,5.1,0.464
1999-01-07,4146,3.9,27.3,5.1,0.453
1999-01-08,4099,3.2,27.7,5.1,0.46
1999-01-09,4058,0,29,5.1,0.481
1999-01-10,4027,12.2,28.2,5,0.468
1999-01-11,4000,3.5,26.5,5.1,0.44
1999-01-12,3982,2,27.1,5,0.45
1999-01-13,3952,10.2,26.9,5,0.446
1999-01-14,3900,2.7,26.6,5.1,0.441
1999-01-15,3868,0,26.2,5.1,0.435
1999-01-16,3901,18.2,26.6,4.9,0.441
1999-01-17,3907,1,26.9,5,0.446
1999-01-18,4032,2.8,26.4,5.1,0.438
1999-01-19,4141,8.6,26.4,5.1,0.438
1999-01-20,4330,0.2,26.1,5.3,0.433
1999-01-21,4550,0.9,26.2,5.1,0.435
1999-01-22,4790,0.9,26.2,4.8,0.435
1999-01-23,5117,0.5,25.5,5.2,0.423
1999-01-24,5436,0.7,26.6,5.1,0.441
1999-01-25,5775,42.9,26.5,4.8,0.44
1999-01-26,6118,89.3,26.1,5,0.433
1999-01-27,6402,2,26.9,5.1,0.446
1999-01-28,6717,0.5,27.1,5,0.45
1999-01-29,6864,40,26.7,5,0.443
1999-01-30,6971,73,27,4.7,0.448
1999-01-31,6952,0.4,27.1,4.7,0.45
1999-02-01,6458,54.3,27.6,4.8,0.458
1999-02-02,6577,29.6,27.4,4.9,0.455
1999-02-03,6846,13.6,27.1,5.1,0.45
1999-02-04,7018,4.6,26.1,4.8,0.433
1999-02-05,7194,37.5,26,5,0.431
1999-02-06,7349,9.5,26,4.8,0.431
1999-02-07,7511,40,26.4,4.8,0.438
1999-02-08,7673,61.6,26,4.9,0.431
1999-02-09,7897,11.2,26.9,4.8,0.446
1999-02-10,8101,56.4,26.5,4.7,0.44
1999-02-11,8281,23.5,26.1,4.7,0.433
1999-02-12,8513,1.6,26.6,4.8,0.441
1999-02-13,8685,26.1,26.6,4.7,0.441
1999-02-14,8794,13.4,26.1,5.1,0.433
1999-02-15,8868,85.3,25.7,4.8,0.426
1999-02-16,8969,1,26.4,4.7,0.438
1999-02-17,9043,21.2,24.2,4.7,0.401
1999-02-18,8929,8.2,24.7,4.6,0.41
1999-02-19,8802,39.3,25.7,4.8,0.426
1999-02-20,8696,10.3,26.3,4.7,0.436
1999-02-21,8601,7.2,25.5,4.9,0.423
1999-02-22,8604,58.3,26.3,4.8,0.436
1999-02-23,9398,23.6,26,4.9,0.431
1999-02-24,9919,155.4,26.4,4.8,0.438
1999-02-25,10000,17.4,26.6,5.2,0.441
1999-02-26,10080,10.4,26.6,4.8,0.441
1999-02-27,10030,22.2,25.8,4.7,0.428
1999-02-28,9988,0,27.3,4.7,0.453
1999-03-01,10080,4.2,26.7,4.7,0.443
1999-03-02,9772,1.7,28,4.6,0.464
1999-03-03,7709,1.3,25.6,4.4,0.425
1999-03-04,7564,4.3,26.7,4.7,0.443
1999-03-05,7122,2.7,26.9,4.7,0.446
1999-03-06,6652,19.3,26.6,4.6,0.441
1999-03-07,6730,20.3,27.4,4.6,0.455
1999-03-08,6649,11.9,28.2,5.1,0.468
1999-03-09,6672,0.6,27.8,4.7,0.461
1999-03-10,6546,0.3,26.8,4.5,0.445
1999-03-11,6767,13.4,25.7,4.5,0.426
1999-03-12,6586,0,25.5,4.5,0.423
1999-03-13,5774,52.4,26.6,4.5,0.441
1999-03-14,5476,2.7,26.8,4.6,0.445
1999-03-15,5379,10.9,27,4.5,0.448
1999-03-16,4972,7.9,27,4.4,0.448
1999-03-17,4965,53.8,27.1,4.5,0.45
1999-03-18,5249,0,27.4,4.5,0.455
1999-03-19,6272,0,27.5,5,0.456
1999-03-20,6134,11.4,27.1,4.5,0.45
1999-03-21,5592,10.2,26.4,4.5,0.438
1999-03-22,4913,0.4,26.7,4.3,0.443
1999-03-23,4340,0.1,27,4.2,0.448
1999-03-24,4421,0,27.2,4.3,0.451
1999-03-25,4641,0,27.2,4.4,0.451
1999-03-26,5803,25.2,26.5,4.4,0.44
1999-03-27,6776,0,25.1,4.4,0.416
1999-03-28,6652,0.3,26.7,4.4,0.443
1999-03-29,5379,0.8,27.5,4.3,0.456
1999-03-30,4935,7.8,28,5.1,0.464
1999-03-31,5159,3.3,26.2,4.4,0.435
1999-04-01,6506,2.5,26.2,4.4,0.435
1999-04-02,6070,0,26,4.3,0.431
1999-04-03,5432,37,26.1,4.3,0.433
1999-04-04,4988,83,25.6,4.4,0.425
1999-04-05,5646,19.7,26.1,4.4,0.433
1999-04-06,5502,7.6,26.7,4.3,0.443
1999-04-07,5362,0,26.5,4.3,0.44
1999-04-08,5722,1.6,27.2,4.3,0.451
1999-04-09,6767,57,26.6,4.2,0.441
1999-04-10,8862,57.9,26.3,5.2,0.436
1999-04-11,9617,10.3,24.7,4,0.41
1999-04-12,10010,0,26.4,4,0.438
1999-04-13,9096,21.3,27,4.2,0.448
1999-04-14,8214,4.3,26.6,4.2,0.441
1999-04-15,8156,45.4,25.8,4.3,0.428
1999-04-16,9882,0.7,25.6,4.2,0.425
1999-04-17,11220,1.9,25.4,4.3,0.421
1999-04-18,10540,0.3,23.8,4.2,0.395
1999-04-19,10470,0.1,25,4.2,0.415
1999-04-20,13080,0.2,25.8,4.2,0.428
1999-04-21,11460,0,26.8,5.1,0.445
1999-04-22,9028,0.2,26.6,4.1,0.441
1999-04-23,8305,66.7,26.6,4,0.441
1999-04-24,9998,0.1,26,4.1,0.431
1999-04-25,10630,0.3,26.6,4,0.441
1999-04-26,9910,0.1,26.6,4,0.441
1999-04-27,8625,1.3,26.8,4,0.445
1999-04-28,6654,7.6,26,4.1,0.431
