Date,CAUDAL,PP,PP_anterior,T,PET,NDVI
1999-01-01,12000,27.4,20.3,27.3,5.1,0.5
1999-01-02,11440,9.4,27.4,28,5,0.5
1999-01-03,10940,8.8,9.4,27.8,4.9,0.5
1999-01-04,10760,3.9,8.8,27.4,4.8,0.5
1999-01-05,10890,7.9,3.9,28.6,4.9,0.5
1999-01-06,11220,16.2,7.9,27.9,5,0.5
1999-01-07,11380,6.7,16.2,27.5,5,0.5
1999-01-08,11520,17.7,6.7,27.1,5.1,0.4
1999-01-09,11770,9.8,17.7,28.1,5,0.5
1999-01-10,12140,45.7,9.8,27,5,0.4
1999-01-11,12570,11.7,45.7,25.8,5.1,0.4
1999-01-12,12880,40.3,11.7,27.6,5.1,0.5
1999-01-13,13070,11.2,40.3,26.1,4.9,0.4
1999-01-14,13250,32.3,11.2,26.4,5.1,0.4
1999-01-15,13470,5.6,32.3,25.6,5.1,0.4
1999-01-16,13680,35.5,5.6,26.7,5,0.4
1999-01-17,13960,38.5,35.5,26.9,5,0.4
1999-01-18,14460,34.1,38.5,27.2,5.1,0.5
1999-01-19,15160,32.6,34.1,26.7,5.1,0.4
1999-01-20,15860,4.2,32.6,26.4,5.1,0.4
1999-01-21,16400,4.2,4.2,26.7,4.9,0.4
1999-01-22,16840,4.1,4.2,26.9,4.7,0.4
1999-01-23,17070,8.2,4.1,26.5,5.1,0.4
1999-01-24,17320,4.1,8.2,27,4.9,0.4
1999-01-25,17790,30.8,4.1,26.2,4.6,0.4
1999-01-26,18390,12.6,30.8,26.3,4.8,0.4
1999-01-27,19030,5.8,12.6,26.6,5,0.4
1999-01-28,19580,26.3,5.8,27,5.1,0.4
1999-01-29,20030,18.5,26.3,26.7,4.9,0.4
1999-01-30,20410,68.6,18.5,27,4.6,0.4
1999-01-31,20770,17.3,68.6,26.8,4.5,0.4
1999-02-01,21100,15.5,17.3,27.6,4.8,0.5
1999-02-02,21380,60.3,15.5,27.8,4.9,0.5
1999-02-03,21670,35,60.3,25.9,5,0.4
1999-02-04,21920,9.7,35,26.9,4.9,0.4
1999-02-05,22100,52.4,9.7,26.3,4.9,0.4
1999-02-06,22300,4.4,52.4,26.4,4.9,0.4
1999-02-07,22440,68,4.4,26.9,4.8,0.4
1999-02-08,22630,21.7,68,26.7,4.8,0.4
1999-02-09,22750,25.4,21.7,26.6,4.9,0.4
1999-02-10,22880,10.5,25.4,26.7,4.7,0.4
1999-02-11,22980,12.5,10.5,25.1,4.7,0.4
1999-02-12,23020,5.1,12.5,27,4.7,0.4
1999-02-13,23140,23.3,5.1,25.9,4.6,0.4
1999-02-14,23200,41.6,23.3,26.8,5.1,0.4
1999-02-15,23270,4.2,41.6,26.3,4.8,0.4
1999-02-16,23340,41.4,4.2,27.1,4.7,0.4
1999-02-17,23410,5.4,41.4,25.6,4.8,0.4
1999-02-18,23460,3.9,5.4,25.6,4.5,0.4
1999-02-19,23520,24.3,3.9,26.2,4.7,0.4
1999-02-20,23610,4.2,24.3,26.5,4.6,0.4
1999-02-21,23700,26.8,4.2,25.8,4.7,0.4
1999-02-22,23760,15.5,26.8,25.9,4.7,0.4
1999-02-23,23800,11.3,15.5,25.7,4.9,0.4
1999-02-24,23840,8.4,11.3,26.7,4.8,0.4
1999-02-25,23870,20,8.4,26.9,5.2,0.4
1999-02-26,23900,35.1,20,27.2,4.6,0.5
1999-02-27,23960,4.1,35.1,26.1,4.6,0.4
1999-02-28,24010,7.3,4.1,27.2,4.5,0.5
1999-03-01,24060,7.9,7.3,27.3,4.7,0.5
1999-03-02,24080,8.4,7.9,27.7,4.7,0.5
1999-03-03,24130,19.2,8.4,26.8,4.5,0.4
1999-03-04,24150,15.5,19.2,26.7,4.6,0.4
1999-03-05,24200,21.3,15.5,27,4.6,0.4
1999-03-06,24250,12.6,21.3,26.9,4.6,0.4
1999-03-07,24300,3.9,12.6,27.2,4.6,0.5
1999-03-08,24320,3.9,3.9,28.2,5,0.5
1999-03-09,24320,19.8,3.9,27.3,4.6,0.5
1999-03-10,24320,11.9,19.8,25.8,4.5,0.4
1999-03-11,24320,4.1,11.9,26.3,4.5,0.4
1999-03-12,24310,4.2,4.1,25.7,4.5,0.4
1999-03-13,24270,28.7,4.2,26,4.5,0.4
1999-03-14,24200,50.7,28.7,27,4.5,0.4
1999-03-15,24130,4.3,50.7,26.9,4.5,0.4
1999-03-16,24060,16,4.3,27,4.4,0.4
1999-03-17,23980,11.2,16,26.9,4.4,0.4
1999-03-18,23870,20,11.2,27.6,4.5,0.5
1999-03-19,23760,56.1,20,27.7,4.9,0.5
1999-03-20,23680,30.5,56.1,26.9,4.5,0.4
1999-03-21,23590,22,30.5,26,4.4,0.4
1999-03-22,23390,13,22,26.4,4.3,0.4
1999-03-23,23320,50.9,13,26.9,4.3,0.4
1999-03-24,23260,97.8,50.9,27.7,4.3,0.5
1999-03-25,23260,35.4,97.8,27.3,4.2,0.5
1999-03-26,23220,58.2,35.4,27,4.3,0.4
1999-03-27,23200,3.9,58.2,24.8,4.3,0.4
1999-03-28,23180,4.1,3.9,27,4.3,0.4
1999-03-29,23180,8.9,4.1,27.4,4.3,0.5
1999-03-30,23180,30.5,8.9,27.6,4.9,0.5
1999-03-31,23230,46.7,30.5,27.1,4.2,0.4
1999-04-01,23330,9.6,46.7,25.4,4.3,0.4
1999-04-02,23370,26.2,9.6,26,4.3,0.4
1999-04-03,23410,21.8,26.2,26.1,4.2,0.4
1999-04-04,23460,30.4,21.8,26.2,4.3,0.4
1999-04-05,23530,4.1,30.4,25.8,4.3,0.4
1999-04-06,23600,7.8,4.1,26.2,4.3,0.4
1999-04-07,23610,15.5,7.8,26.3,4.3,0.4
1999-04-08,23630,23.3,15.5,26.6,4.3,0.4
1999-04-09,23680,38.9,23.3,26.7,4.1,0.4
1999-04-10,23770,34.8,38.9,25.9,5.1,0.4
1999-04-11,23860,31,34.8,25.4,4,0.4
1999-04-12,23920,27.3,31,26.7,4.1,0.4
1999-04-13,24010,5.4,27.3,27.2,4.1,0.5
1999-04-14,24100,66.4,5.4,26.4,4.1,0.4
1999-04-15,24220,127.4,66.4,26.8,4.2,0.4
1999-04-16,24420,4.2,127.4,25,4.3,0.4
1999-04-17,24600,4.1,4.2,24.9,4.1,0.4
1999-04-18,24730,3.9,4.1,21.6,4.2,0.4
1999-04-19,24850,3.9,3.9,23.7,4.2,0.4
1999-04-20,24960,3.9,3.9,24.7,4.1,0.4
1999-04-21,25080,13.1,3.9,25.7,5,0.4
1999-04-22,25190,14.7,13.1,25.8,4,0.4
1999-04-23,25310,4.1,14.7,26,4.1,0.4
1999-04-24,25450,16.2,4.1,26,4,0.4
1999-04-25,25590,4.1,16.2,24.9,4,0.4
1999-04-26,25700,12.3,4.1,26,4,0.4
1999-04-27,25790,8.4,12.3,26.4,4.1,0.4
1999-04-28,25880,4.5,8.4,26,4,0.4
1999-04-29,25950,17.2,4.5,26.3,4,0.4
1999-04-30,26040,50.2,17.2,25.9,4.1,0.4
1999-05-01,26130,4.2,50.2,24.9,4,0.4
1999-05-02,26240,46,4.2,25.8,4.8,0.4
1999-05-03,26350,3.9,46,25.5,4.1,0.4
1999-05-04,26450,3.9,3.9,26.2,4,0.4
1999-05-05,26520,3.9,3.9,26.3,3.9,0.4
1999-05-06,26570,4.4,3.9,26,4.1,0.4
1999-05-07,26630,41.1,4.4,26.2,3.9,0.4
1999-05-08,26680,20.1,41.1,26.8,4.1,0.4
1999-05-09,26730,3.9,20.1,26,4,0.4
1999-05-10,26750,11.3,3.9,26.9,4.1,0.4
1999-05-11,26760,19.4,11.3,26.5,4.1,0.4
1999-05-12,26900,11.7,19.4,24,4.1,0.4
1999-05-13,26920,4.1,11.7,24.8,4.9,0.4
1999-05-14,26900,4.1,4.1,25.5,5,0.4
1999-05-15,26900,4.6,4.1,25.1,4,0.4
1999-05-16,26900,3.9,4.6,26.1,4,0.4
1999-05-17,26910,4.5,3.9,25.7,4,0.4
1999-05-18,26910,28.4,4.5,25.6,3.9,0.4
1999-05-19,27020,4.2,28.4,25.2,4,0.4
1999-05-20,27010,4.1,4.2,25.3,4,0.4
